--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
23:05:14.516 >    872s | 26.5 | 31.0 | -4.50 | -67.50 | -5.00 |  0.00 |   0.0 |   0%
23:05:15.285 >    873s | 26.5 | 31.0 | -4.50 | -67.50 | -5.00 |  0.00 |   0.0 |   0%
23:05:16.054 >    874s | 26.5 | 31.0 | -4.50 | -67.50 | -5.00 |  0.00 |   0.0 |   0%
23:05:16.823 >    875s | 26.5 | 31.0 | -4.50 | -67.50 | -5.00 |  0.00 |   0.0 |   0%
23:05:17.592 >    876s | 26.5 | 31.0 | -4.43 | -66.56 | -5.00 |  0.12 |   0.0 |   0%
23:05:18.362 >    877s | 26.5 | 31.0 | -4.43 | -66.56 | -5.00 |  0.00 |   0.0 |   0%
23:05:19.131 >    878s | 26.5 | 31.0 | -4.43 | -66.56 | -5.00 |  0.00 |   0.0 |   0%
23:05:19.901 >    879s | 26.6 | 31.0 | -4.37 | -65.62 | -5.00 |  0.12 |   0.0 |   0%
23:05:20.670 >    880s | 26.6 | 31.0 | -4.37 | -65.62 | -5.00 |  0.00 |   0.0 |   0%
23:05:21.439 >    881s | 26.6 | 31.0 | -4.37 | -65.62 | -5.00 |  0.00 |   0.0 |   0%
23:05:22.209 >    882s | 26.6 | 31.0 | -4.37 | -65.62 | -5.00 |  0.00 |   0.0 |   0%
23:05:22.978 >    883s | 26.6 | 31.0 | -4.31 | -64.68 | -5.00 |  0.12 |   0.0 |   0%
23:05:23.748 >    884s | 26.8 | 31.0 | -4.12 | -61.87 | -5.00 |  0.37 |   0.0 |   0%
23:05:24.517 >    885s | 27.1 | 31.0 | -3.81 | -57.18 | -5.00 |  0.62 |   0.0 |   0%
23:05:25.285 >    886s | 27.7 | 31.0 | -3.25 | -48.75 | -5.00 |  1.12 |   0.0 |   0%
23:05:26.054 >    887s | 28.3 | 31.0 | -2.62 | -39.37 | -5.00 |  1.25 |   0.0 |   0%
23:05:26.823 >    888s | 29.0 | 31.0 | -2.00 | -30.00 | -5.00 |  1.25 |   0.0 |   0%
23:05:27.592 >    889s | 29.5 | 31.0 | -1.50 | -22.50 | -5.00 |  1.00 |   0.0 |   0%
23:05:28.361 >    890s | 30.0 | 31.0 | -1.00 | -15.00 | -5.00 |  1.00 |   0.0 |   0%
23:05:29.130 >    891s | 30.5 | 31.0 | -0.50 | -7.50 | -5.00 |  1.00 |   0.0 |   0%
